,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated
0,ART_AND_DESIGN,4.1,159,19.0,10000,Free,0.0,Everyone,"January 7, 2018"
1,ART_AND_DESIGN,3.9,967,14.0,500000,Free,0.0,Everyone,"January 15, 2018"
2,ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0.0,Everyone,"August 1, 2018"
3,ART_AND_DESIGN,4.5,215644,25.0,50000000,Free,0.0,Teen,"June 8, 2018"
4,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0.0,Everyone,"June 20, 2018"
5,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0.0,Everyone,"March 26, 2017"
6,ART_AND_DESIGN,3.8,178,19.0,50000,Free,0.0,Everyone,"April 26, 2018"
7,ART_AND_DESIGN,4.1,36815,29.0,1000000,Free,0.0,Everyone,"June 14, 2018"
8,ART_AND_DESIGN,4.4,13791,33.0,1000000,Free,0.0,Everyone,"September 20, 2017"
9,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0.0,Everyone,"July 3, 2018"
10,ART_AND_DESIGN,4.4,13880,28.0,1000000,Free,0.0,Everyone,"October 27, 2017"
11,ART_AND_DESIGN,4.4,8788,12.0,1000000,Free,0.0,Everyone,"July 31, 2018"
12,ART_AND_DESIGN,4.2,44829,20.0,10000000,Free,0.0,Teen,"April 2, 2018"
13,ART_AND_DESIGN,4.6,4326,21.0,100000,Free,0.0,Everyone,"June 26, 2018"
14,ART_AND_DESIGN,4.4,1518,37.0,100000,Free,0.0,Everyone,"August 3, 2018"
15,ART_AND_DESIGN,3.2,55,2.7,5000,Free,0.0,Everyone,"June 6, 2018"
16,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,"July 31, 2018"
17,ART_AND_DESIGN,4.5,27,17.0,10000,Free,0.0,Everyone,"November 7, 2017"
18,ART_AND_DESIGN,4.3,194216,39.0,5000000,Free,0.0,Everyone,"August 3, 2018"
19,ART_AND_DESIGN,4.6,224399,31.0,10000000,Free,0.0,Everyone,"July 30, 2018"
20,ART_AND_DESIGN,4.0,450,14.0,100000,Free,0.0,Everyone,"April 20, 2018"
21,ART_AND_DESIGN,4.1,654,12.0,100000,Free,0.0,Everyone,"March 20, 2018"
22,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone ,"July 12, 2018"
23,ART_AND_DESIGN,,61,7.0,100000,Free,0.0,Everyone,"March 7, 2018"
24,ART_AND_DESIGN,4.7,118,23.0,50000,Free,0.0,Everyone,"July 7, 2018"
25,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,"April 25, 2018"
26,ART_AND_DESIGN,4.7,20260,25.0,500000,Free,0.0,Everyone,"October 11, 2017"
27,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,"March 21, 2018"
28,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0.0,Everyone,"July 12, 2018"
29,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0.0,Everyone,"August 22, 2017"
30,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0.0,Everyone,"July 12, 2018"
31,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0.0,Everyone,"May 31, 2018"
32,ART_AND_DESIGN,4.5,5035,11.0,100000,Free,0.0,Everyone,"July 19, 2018"
33,ART_AND_DESIGN,4.2,1015,11.0,100000,Free,0.0,Everyone,"January 6, 2018"
34,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0.0,Teen,"April 27, 2018"
35,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0.0,Everyone,"July 11, 2018"
36,ART_AND_DESIGN,4.7,8145,24.0,500000,Free,0.0,Everyone,"August 2, 2018"
37,ART_AND_DESIGN,4.1,36639,,5000000,Free,0.0,Everyone,"July 14, 2018"
38,ART_AND_DESIGN,4.7,158,11.0,10000,Free,0.0,Everyone,"November 29, 2017"
39,ART_AND_DESIGN,4.0,591,9.4,500000,Free,0.0,Everyone,"March 31, 2018"
40,ART_AND_DESIGN,4.2,117,15.0,10000,Free,0.0,Everyone,"July 20, 2018"
41,ART_AND_DESIGN,4.5,176,10.0,100000,Free,0.0,Everyone,"April 2, 2018"
42,ART_AND_DESIGN,4.4,295221,,10000000,Free,0.0,Everyone,"July 30, 2018"
43,ART_AND_DESIGN,3.8,2206,1.2,100000,Free,0.0,Everyone,"April 15, 2018"
44,ART_AND_DESIGN,4.2,26,12.0,10000,Free,0.0,Everyone,"January 3, 2018"
45,ART_AND_DESIGN,4.7,174531,24.0,10000000,Free,0.0,Everyone,"July 31, 2018"
46,ART_AND_DESIGN,4.6,1070,26.0,100000,Free,0.0,Everyone,"November 14, 2017"
47,ART_AND_DESIGN,4.2,85,8.0,100000,Free,0.0,Everyone,"December 17, 2017"
48,ART_AND_DESIGN,4.3,845,7.9,100000,Free,0.0,Everyone,"May 28, 2018"
49,AUTO_AND_VEHICLES,4.2,367,25.0,100000,Free,0.0,Everyone,"May 10, 2018"
50,AUTO_AND_VEHICLES,4.0,1598,56.0,1000000,Free,0.0,Everyone,"July 26, 2018"
51,AUTO_AND_VEHICLES,3.8,284,57.0,100000,Free,0.0,Everyone,"July 26, 2018"
52,AUTO_AND_VEHICLES,4.6,17057,,1000000,Free,0.0,Everyone,"July 30, 2018"
53,AUTO_AND_VEHICLES,3.9,129,35.0,100000,Free,0.0,Everyone,"July 26, 2018"
54,AUTO_AND_VEHICLES,4.3,542,33.0,100000,Free,0.0,Everyone,"July 31, 2018"
55,AUTO_AND_VEHICLES,4.9,10479,33.0,100000,Free,0.0,Everyone,"July 18, 2018"
56,AUTO_AND_VEHICLES,4.4,805,5.6,50000,Free,0.0,Everyone,"July 29, 2018"
57,AUTO_AND_VEHICLES,4.2,129,54.0,100000,Free,0.0,Everyone,"July 26, 2018"
58,AUTO_AND_VEHICLES,4.0,1403,201.0,100000,Free,0.0,Everyone,"August 26, 2014"
59,AUTO_AND_VEHICLES,3.9,3971,3.6,100000,Free,0.0,Everyone,"July 30, 2018"
60,AUTO_AND_VEHICLES,4.6,534,5.7,10000,Free,0.0,Everyone,"July 8, 2018"
61,AUTO_AND_VEHICLES,4.9,7774,17.0,100000,Free,0.0,Everyone,"July 3, 2018"
62,AUTO_AND_VEHICLES,4.3,38846,8.6,1000000,Free,0.0,Everyone,"July 28, 2018"
63,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0.0,Everyone,"June 12, 2018"
64,AUTO_AND_VEHICLES,4.9,6090,27.0,100000,Free,0.0,Everyone,"July 3, 2018"
65,AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0.0,Everyone,"July 30, 2018"
66,AUTO_AND_VEHICLES,4.0,190,2.5,50000,Free,0.0,Everyone,"October 14, 2016"
67,AUTO_AND_VEHICLES,4.3,40211,,5000000,Free,0.0,Everyone,"July 30, 2018"
